penA	mtrR	porB	ponA	gyrA	parC	23S	ST
12.001	19	11	1	100	1	100	243
2.001	2	8	100	100	100	100	244
2.001	9	3	1	100	100	100	245
2.001	1	1	100	100	100	100	246
19.001	38	12	1	7	15	100	247
19.001	38	3	1	7	15	100	248
19.001	38	1	1	7	3	100	249
34.001	1	3	1	1	3	100	250
34.001	25	1	100	100	100	100	251
21.001	1	12	1	1	3	100	252
2.002	1	1	1	1	3	100	253
34.001	1	12	1	1	3	100	254
34.001	2	8	1	1	3	100	255
34.001	1	14	1	1	3	100	256
5.002	50	8	1	1	3	100	257
5.002	1	9	1	1	3	100	258
13.001	19	11	1	100	1	100	259
5.002	1	4	1	1	3	100	260
22.001	25	1	1	6	1	100	261
12.001	1	8	1	100	3	100	262
12.001	19	8	4	1	3	100	263
5.002	1	3	1	1	3	100	264
43.002	1	12	1	7	6	100	265
22.001	18	4	1	100	1	100	266
5.002	1	100	1	1	3	100	267
19.001	38	13	1	7	20	100	268
14.001	10	13	100	100	2	100	269
14.001	29	8	100	100	7	2	270
19.001	47	14	1	7	17	100	271
4.001	18	100	1	100	7	100	272
2.002	1	100	1	7	2	100	273
2.001	9	3	100	100	100	2	274
2.002	19	8	100	1	18	2	275
2.001	19	11	1	5	2	100	276
5.002	19	12	1	2	3	100	277
2.002	1	11	1	5	2	100	278
2.002	1	8	1	100	2	100	279
10.001	19	9	1	5	2	100	280
4.001	25	8	1	5	4	100	281
2.002	1	8	1	5	2	100	282
9.001	1	8	1	1	2	100	283
9.001	1	12	1	1	10	100	284
19.001	10	8	100	1	2	100	285
19.001	10	3	100	1	2	100	286
2.002	19	1	1	100	1	100	287
14.001	10	14	100	100	7	100	288
14.001	10	13	100	100	7	100	289
2.001	5	13	100	100	100	100	290
5.002	19	1	1	1	3	100	291
14.001	5	100	100	100	7	100	292
22.001	9	3	100	100	2	100	293
1.001	5	100	100	100	1	8	294
100.001	18	14	100	100	1	8	295
19.001	25	3	1	100	2	100	296
2.001	5	100	100	100	2	100	297
19.001	25	5	100	100	2	100	298
22.001	50	3	100	100	1	100	299
2.001	15	4	1	100	1	100	300
2.001	9	3	100	100	100	100	301
2.001	25	100	100	100	100	100	302
34.001	1	100	1	1	3	100	303
2.002	1	12	1	7	6	100	304
2.002	38	8	1	7	15	100	305
100.001	18	100	100	100	100	100	306
15.001	3	1	100	100	2	100	307
2.002	10	14	100	100	2	100	308
19.001	38	100	1	7	15	100	309
12.001	1	12	4	1	3	100	310
12.001	35	8	1	100	7	100	311
2.002	19	8	1	1	9	100	312
12.001	16	8	1	5	1	100	313
2.001	1	100	100	100	2	100	314
12.001	1	8	100	100	1	100	315
2.002	1	14	100	100	1	100	316
5.002	36	8	1	7	15	100	317
2.001	19	8	1	2	2	100	318
10.001	1	11	1	1	3	100	319
7.001	25	8	1	2	5	100	320
10.001	19	11	1	2	5	100	321
9.001	1	13	1	1	2	100	322
4.001	1	8	1	2	10	100	323
19.001	25	14	1	2	10	100	324
9.001	1	11	1	1	2	100	325
